12.27.19,1.14.19,9.30.19,7.22.19,12.31.18,12.31.17,12.27.19,2.17.20
Rory McIlroy,5/14/89,1,8, ,2,6,5,1,1,healthy again - lack of care though,Northern Ireland,Florida,Palm Beach - FL
Jon Rahm,11/10/94,2,7,3,6,8,3,3,3,Overseeded bermuda; likes Pete Dye Courses,ASU,Arizona,Scottsdale - AZ
Justin Thomas,4/29/93,3,4,4,5,2,6,4,4,wait on form,Alabama,Kentucky,Louisville - KY
Bryson Dechambeau,9/16/93,10,5, ,11,11,65,18,16,more immediate risk than upside to be had with the new physique in 2020.  probably needs a full year to work his way into it,SMU,Texas,Dallas - TX
Xander Schauffele,10/25/93,7,6, ,10,19,47,9,10,use after June,SDSU,California,La Jolla - CA
Hideki Matsuyama,2/25/92,4,30, ,32,17,7,23,21,slow to return to peak form after that 2018 left wrist injury but started flashing it again in 2019 with seven top 10s. Ended the 2019 season having gained on approach in 73% of his measured rounds which was second behind only J. Thomas. Hideki-bot is officially back and ready to hit the winner's circle at least once in 2020.,Japan,Japan,Sendai - Japan
Patrick Reed,8/5/90,8,15, ,17,15,16,13,14,all-around game serves him well in terms of course fit.,Augusta State,Texas,Spring - TX
Sungjae Im,3/30/98,9,92, , ,46,,34,32,won web.com 2018,Korea National Sport University,South Korea,Jeju - South Korea
Justin Rose,7/30/80,32,1, ,4,4,10,10,12,club change to Honma makes magical $8 million season appear to be well in the rear-view,England,Bahamas,New Providence - Bahamas
Webb Simpson,8/8/85,5,20,12,14,24,18,12,8,lives at QH - but its too long for him,Georgia Tech,North Carolina,Charlotte - NC
Jordan Spieth,7/27/93,94,18, , ,7,1,49,53,Ball striking is as bad as its ever been; he's best on poa,Texas,Texas,Dallas - TX
Dustin Johnson,6/22/84,13,3, ,3,1,4,5,5,Knee surgery Sept 2019,Coastal Carolina,Florida,Jupiter - FL
Daniel Berger,4/7/93,27,61, , ,45,17,153,106,iron play still is not there - in 2019 he ranked 109th in SG Approach,FSU,Florida,Jupiter - FL
Brooks Koepka,5/3/90,22,2, , ,9,8,2,2,knee injury fall 2019,FSU,Florida,Palm Beach - FL
Gary Woodland,5/21/84,17,23, ,18,18,40,15,19,driving well.  Plays better on club-down courses with his 3-wood,Kansas,Kansas,Topeka - KS
Kevin Kisner,2/15/84,61,39, ,28,47,19,30,33,His around-the-green play has been up and down over the course of his career but it was in the dumps in 2019 - losing strokes around-the-green in 61% of his rounds played.,Georgia,South Carolina,Aiken - SC
Tyrrell Hatton,10/14/91,14,25, , ,28,34,32,35,left wrist suregry at end of 2019 - should only play about 14 times on Tour in 2020 like Lowry and Garcia,England,England,Buckinghamshire - England
Matt Kuchar,6/21/78,19,22, ,20,37,15,24,15,Don't expext him to maintain his 2019 pace,Georgia Tech,Georgia,St. Simons Island - GA
Rickie Fowler,12/13/88,18,13, ,19,3,2,25,26,from Murrieta - CA. worse on poa,OSU,Florida,Jupiter - FL
Matthew Fitzpatrick,9/1/94,26,40, ,29,,88,25,24,putter was putrid but tee-to-green game was elite in 2019.  Putting is usually one of his strengths so I'd expect a nice breakout year for Fitz as long as his tee-to-green game sticks around.,Northwestern University,England,Sheffield - England
Abraham Ancer,2/27/1991,31,57, , ,58,,39,29,gained strokes off-the-tee in 86% of his measured rounds last season.,Oklahoma,Texas,McAllen - TX
Branden Grace,5/20/88,97,51, , ,52,35,122,71,bad putter,South Africa,South Africa,George - South Africa
Tony Finau,9/14/89,29,11, ,12,12,13,12,13,not bermuda,mini tours,Arizona,Scottsdale - AZ
Billy Horschel,12/7/86,25,36, , ,49,119,39,40,gets on heaters,Florida Gators,Florida,Ponte Vedra Beach - FL
Joel Dahmen,11/11/87,40,193, , ,78,,101,85,from Clarkston - WA.  steady play; will play 28-29 events.,Washington,Arizona,Scottsdale - AZ
Jason Kokrak,5/22/85,47,131, ,54,76,74,64,80,went from steady striker to elite ball-striker in the matter of a year 2019,Xavier,North Carolina,Charlotte - NC
Ian Poulter,1/10/76,49,38, , ,39,42,43,55,not getting any younger,England,Florida,Orlando - FL
Bubba Watson,11/5/78,57,17, ,24,38,77,45,46,Riviera/ River Highlands,Georgia,Florida,Bagdad - FL
Jason Day,11/12/87,36,11, ,23,5,12,38,43,Still brings top-of-the-world upside to the table but it'd be foolish to expect that kind of performance in 2020.,Australia,Ohio,Westerville - OH
Viktor Hovland,9/18/97,35,2006,96,111,,,95,102,short game needs a lot of work but this might be the best ball-striker we've seen come on TOUR in years.,OSU,Norway,Oslo - Norway
Shane Lowry,4/2/87,33,75, ,21,,59,19,18,2019 Open Champion,Dublin,Ireland,Dublin - Ireland
Brian Harman,1/19/87,73,58, , ,93,29,123,130,snapped out of it summer 2019 with finishes of T31 or better in 7 of his last 13 starts to end the season - including a trio of top 10s,Georgia,Georgia,St. Simons Island - GA
Brandt Snedeker,12/8/80,34,46, , ,56,38,48,45,healthy?,Vanderbuilt,Tennessee,Nashville - TN
Sergio Garcia,1/9/80,38,27, , ,36,21,39,42,won't make many Tour starts,Spain,Florida,Orlando - FL
Rafael Cabrera Bello,5/25/84,74,32, ,35,27,46,41,44,good approaches,Spain,Spain,Gran Canaria - Spain
Louis Oosthuizen,10/19/82,21,26, ,22,35,25,20,17,injury risk (neck),South Africa,Florida,Jupiter - FL
Harris English,7/23/89,28,308, ,240,119,,187,192,good putter,Georgia,Georgia,Sea Island - GA
Joaquin Niemann,11/7/98,62,155, ,84,32,,58,67,Look at his putting stats; 2019 stats he was a top-40 driver of the golf ball and top 25 in iron play.,Chile,Chile,Santiago - Chile
Corey Conners,1/6/92,58,181, , ,,,58,64,short-game stats are at the far end of the other side of the spectrum.,Kent State,Canada,Listowel - ON - Canada
Cameron Smith,8/18/93,88,29, , ,51,62,33,37,problem is that he still loses strokes off-the-tee in more than half of his measured rounds.  He's shorter than average out on TOUR and he's less accurate than average. Not a good combination. The rest of his game is lights out which makes up for up but until he gets the driver dialed in - he'll lack the consistency you expect from an elite golfer.,Australia,Florida,Jacksonville - FL
Lucas Glover,11/12/79,115,140, , ,90,67,72,83,hates Sawgrass; Improved his putting in 2019 and the results flowed in,Clemson,Florida,Tequesta - FL
Luke List,1/14/85,134,60, , ,34,58,141,164,in 2019 SG Approach fell from 73rd to 112th last season and SG Around the Green dipped from 15th to 108th,Vanderbuilt,Florida,Jupiter - FL
Ryan Palmer,9/19/76,56,73, , ,102,,72,82,shitty putter,Texas A&M,Texas,Colleyville - TX
Adam Hadwin,11/2/87,39,70, , ,53,64,49,56,good putter - bad on Bermuda,Louisville,Arizona,Phoenix - AZ
