Rory McIlroy,11,10,10,6.5,12,8,7.5,5.5, ,6.5,8, , ,6, , , , , , ,6,8, , , , , , ,8,8,11, ,10,8, , , , ,8.5,8,9, ,11, ,6, ,7, ,9, ,12,8, ,11,12, , ,12,,,12,,,,,10,,,,9,20,16,,,12,12,,16,,,,12,14,,14,,,16,6.5,,,9,,7.5,16,14,,10,12,9,,,,,,,20,16,14, ,7,10,,,
Jon Rahm,16,20,18,12,14,12,12, , ,10,10, ,6.5,8, , ,4, , , , , , , , , , , ,10,10,14, ,12,16, , , , ,28, , ,12,20, , , ,18, ,16,10,25, , ,16,16, ,7,10,6.5,,8,,,,,20,,,,28,33,25,18,,25,25,,20,,,,,18,,,12,,22,,,,20,,12,,,12,,,9,10,7,9,,12,12,14,18,25, ,25,22,,,
Justin Thomas,20,20,16,12,14,16,14, , ,11,10, ,8.5, , ,5,5, , , , ,7.5,6.5, , ,6.5, , ,11,16,20, ,18,28, , , ,18,28,16,18, ,20, , , ,18, ,14, ,16, ,5,9,12, ,9, ,,5.5,9,,,,, ,6,5,,11,14,10,12,,14,25,,22,,,,12,14,,14,,,16,10,,,10,,11,,,8,10,16,,16,,,7,6,12,11,20,20, ,40,33,,,
Bryson Dechambeau,40,33,33,28,14,22,20,18, ,25,50, ,28, , , , , , , , , , , ,16,20, ,12,33,40,50, ,30,40, ,14, ,25,50, ,28,25,35, , ,16,33, ,25, ,25,18, ,16,14, , , ,,12,12,,,12,, ,,,,20,16,33,80,,80,55,,125,11,,,33,40,,50,35,,40,45,,40,66,,,100,90,,,100,66,140,100,,,55,,150,200,150, ,200,125,,,
Xander Schauffele,28,25,25,20,20,33,28,25, ,22,22, ,18,16, , ,7, , , ,14,20, , , , , , ,22,33,33, ,22,25, , , , ,25, ,25,18,, , ,16,40, ,28, ,25, , ,20,22, ,14,20,,,22,,,,,60,25,16,,25,110,75,55,,50,45,,150,,25,,35,100,,100,40,,80,66,33,50,80,,66,,,55,,66,,90,50,,40,22,90,125,90,125, ,100,90,,,
Hideki Matsuyama,33,33,33,33,25, ,28,20, ,20,33, ,18,20, ,16, , , , ,12,16,16, ,25,14, , ,16,50,40,14,25,40, ,12,14, ,33, ,22, ,40,16,18, ,28, ,40, ,40,28, ,33,28, ,12,50,,35,,,,,,18,14,,,20,25,33,40,16,66,40,,50,,,,,33,,33,,18,40,22,,,33,,35,25,,,,,,9,16,,,12,20,14,18,10, ,12,18,,,
Patrick Reed,50,80,50,28,28,28,33,25, ,40,40, , ,33, ,12,12, , , ,28,28, , , , , , ,28,22,50,22,40,100, ,25,30,50,100, , , ,66,28,35, ,50, ,40,20,66,33, ,45, ,33, ,35,,33,16,,,,,40,,,,40,55,33,50,,35,45,,35,,,,16,45,,33,,,35,20,,,40,,28,40,55,80,40,,40,60,55,18,,,50,28,28,33, ,66,66,,,
Sungjae Im,100, ,125, ,28,33,25,28,28,50,66, ,33,28,16,20, , , , ,28,33,25, , ,20,14,25,50, ,80,66, ,200,20,35,35,66, ,66,150,70,150,40,45,40, ,28, ,50,100,100,66, ,90,50, ,55,45,66,,50,55,66,18, ,40,,80,,,,,,300,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,, , , ,,,
Justin Rose,18,25,16,25,28,45,50,40,25, ,33, , ,18, , , , , , ,16, , , , , , , ,20,16,20, ,22,20, , , , ,25, ,16,11,20, ,11, ,12, ,20, ,20,12, , , , , ,14,9,,,,,,,8,,,,8,12,25,18,,22,12,,16,,,,,14,,14,22,,30,,,,14,10,,14,18,20,,,,,16,,,,12,28,33,50, ,25,25,,,
Webb Simpson,66,66,66,33,28,25,28, , ,18, , ,12, , ,12, ,8, , , , , , ,20, , , ,20,20,25,10,35,100, , , , ,50,22, , ,66, ,20,25,80, ,50,20,50, ,25,33, , ,18, ,,,22,9,,14,, ,,,,28,50,40,33,12,75,60,,125,,22,,25,66,,,22,,75,33,,25,150,,80,,40,50,50,,,33,,18,33,,45,80,50,80,22,125, ,,,
